Faction,Section,Unit,Composition,Points
CODEX: ADEPTUS MECHANICUS,Regular,Serberys Raiders,3 models,60
CODEX: ADEPTUS MECHANICUS,Regular,Serberys Raiders,6 models,120
CODEX: ADEPTUS MECHANICUS,Regular,Serberys Sulphurhounds,3 models,55
CODEX: ADEPTUS MECHANICUS,Regular,Serberys Sulphurhounds,6 models,110
CODEX: ADEPTUS MECHANICUS,Regular,Servitor Battleclade,9 models,60
CODEX: ADEPTUS MECHANICUS,Regular,Sicarian Infiltrators,5 models,75
CODEX: ADEPTUS MECHANICUS,Regular,Sicarian Infiltrators,10 models,155
CODEX: ADEPTUS MECHANICUS,Regular,Sicarian Ruststalkers,5 models,80
CODEX: ADEPTUS MECHANICUS,Regular,Sicarian Ruststalkers,10 models,165
CODEX: ADEPTUS MECHANICUS,Regular,Skitarii Marshal,1 model,35
CODEX: ADEPTUS MECHANICUS,Regular,Skitarii Rangers,10 models,85
CODEX: ADEPTUS MECHANICUS,Regular,Skitarii Vanguard,10 models,95
CODEX: ADEPTUS MECHANICUS,Regular,Skorpius Disintegrator,1 model,165
CODEX: ADEPTUS MECHANICUS,Regular,Skorpius Dunerider,1 model,85
CODEX: ADEPTUS MECHANICUS,Regular,Sydonian Dragoons with Radium Jezzails,1 model,55
CODEX: ADEPTUS MECHANICUS,Regular,Sydonian Dragoons with Radium Jezzails,2 models,100
CODEX: ADEPTUS MECHANICUS,Regular,Sydonian Dragoons with Radium Jezzails,3 models,150
CODEX: ADEPTUS MECHANICUS,Regular,Sydonian Dragoons with Taser Lances,1 model,65
CODEX: ADEPTUS MECHANICUS,Regular,Sydonian Dragoons with Taser Lances,2 models,130
CODEX: ADEPTUS MECHANICUS,Regular,Sydonian Dragoons with Taser Lances,3 models,195
CODEX: ADEPTUS MECHANICUS,Regular,Sydonian Skatros,1 model,50
CODEX: ADEPTUS MECHANICUS,Regular,Tech-Priest Dominus,1 model,65
CODEX: ADEPTUS MECHANICUS,Regular,Tech-Priest Enginseer,1 model,55
CODEX: ADEPTUS MECHANICUS,Regular,Tech-Priest Manipulus,1 model,60
CODEX: ADEPTUS MECHANICUS,Regular,Technoarcheologist,1 model,45
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Arch-negator,Cohort Cybernetica,10
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Emotionless Clarity,Cohort Cybernetica,15
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Lord of Machines,Cohort Cybernetica,20
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Necromechanic,Cohort Cybernetica,25
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Data-blessed Autosermon,Data-psalm Conclave,20
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Mantle of the Gnosticarch,Data-psalm Conclave,15
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Mechanicus Locum,Data-psalm Conclave,10
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Temporcopia,Data-psalm Conclave,25
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Artisan,Explorator Maniple,15
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Genetor,Explorator Maniple,25
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Logis,Explorator Maniple,20
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Magos,Explorator Maniple,15
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Cognitive Reinforcement,Haloscreed Battle Clade,35
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Inloaded Lethality,Haloscreed Battle Clade,15
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Sanctifled Ordnance,Haloscreed Battle Clade,10
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Transoracular Dyad Wafers,Haloscreed Battle Clade,15
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Autoclavic Denunciation,Rad-zone Corps,15
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Malphonic Susurrus,Rad-zone Corps,20
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Peerless Eradicator,Rad-zone Corps,20
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Radial Sufiusion,Rad-zone Corps,25
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Battle-sphere Uplink,Skitarii Hunter Cohort,30
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Cantic Thrallnet,Skitarii Hunter Cohort,25
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Clandestine Inflltrator,Skitarii Hunter Cohort,20
CODEX: ADEPTUS MECHANICUS,Detachment Enhancement,Veiled Hunter,Skitarii Hunter Cohort,10
INDEX: ADEPTUS TITANICUS,Forge World,ReaverTitan,1 model,2200
INDEX: ADEPTUS TITANICUS,Forge World,Warbringer Nemesis Titan,1 model,2600
INDEX: ADEPTUS TITANICUS,Forge World,Warhound Titan,1 model,1100
INDEX: ADEPTUS TITANICUS,Forge World,Warlord Titan,1 model,3500
CODEX: AELDARI,Regular,Asurmen,1 model,135
CODEX: AELDARI,Regular,Autarch,1 model,85
CODEX: AELDARI,Regular,Autarch Wayleaper,1 model,80
CODEX: AELDARI,Regular,Avatar of Khaine,1 model,280
CODEX: AELDARI,Regular,Baharroth,1 model,115
CODEX: AELDARI,Regular,Corsair Skyreavers,5 models,75
CODEX: AELDARI,Regular,Corsair Skyreavers,10 models,150
CODEX: AELDARI,Regular,Corsair Voidreavers,5 models,65
CODEX: AELDARI,Regular,Corsair Voidreavers,10 models,110
CODEX: AELDARI,Regular,Corsair Voidscarred,5 models,80
CODEX: AELDARI,Regular,Corsair Voidscarred,10 models,160
CODEX: AELDARI,Regular,Crimson Hunter,1 model,160
CODEX: AELDARI,Regular,D-cannon Platform,1 model,125
CODEX: AELDARI,Regular,Dark Reapers,5 models,90
CODEX: AELDARI,Regular,Dark Reapers,10 models,195
CODEX: AELDARI,Regular,Death Jester,1 model,90
CODEX: AELDARI,Regular,Dire Avengers,5 models,75
CODEX: AELDARI,Regular,Dire Avengers,10 models,150
CODEX: AELDARI,Regular,Eldrad Ulthran,1 model,120
CODEX: AELDARI,Regular,Falcon,1 model,130
CODEX: AELDARI,Regular,Farseer,1 model,70
CODEX: AELDARI,Regular,Farseer Skyrunner,1 model,80
CODEX: AELDARI,Regular,FireDragons,5 models,120
CODEX: AELDARI,Regular,FireDragons,10 models,240
CODEX: AELDARI,Regular,FirePrism,1 model,150
CODEX: AELDARI,Regular,Fuegan,1 model,120
CODEX: AELDARI,Regular,Guardian Defenders,11 models,100
CODEX: AELDARI,Regular,Hemlock Wraithfighter,1 model,155
CODEX: AELDARI,Regular,Howling Banshees,5 models,95
CODEX: AELDARI,Regular,Howling Banshees,10 models,190
CODEX: AELDARI,Regular,Jain Zar,1 model,120
CODEX: AELDARI,Regular,Kharseth,1 model,95
CODEX: AELDARI,Regular,Lhykhis,1 model,135
CODEX: AELDARI,Regular,Maugan Ra,1 model,100
CODEX: AELDARI,Regular,Night Spinner,1 model,190
CODEX: AELDARI,Regular,Prince Yriel,1 model,95
CODEX: AELDARI,Regular,Rangers,5 models,55
CODEX: AELDARI,Regular,Rangers,10 models,110
CODEX: AELDARI,Regular,Shadow Weaver Platform,1 model,75
CODEX: AELDARI,Regular,Shadowseer,1 model,60
CODEX: AELDARI,Regular,Shining Spears,3 models,110
CODEX: AELDARI,Regular,Shining Spears,6 models,220
CODEX: AELDARI,Regular,Shroud Runners,3 models,80
CODEX: AELDARI,Regular,Shroud Runners,6 models,160
CODEX: AELDARI,Regular,Skyweavers,2 models,95
CODEX: AELDARI,Regular,Skyweavers,4 models,190
CODEX: AELDARI,Regular,Solitaire,1 model,115
CODEX: AELDARI,Regular,Spiritseer,1 model,65
CODEX: AELDARI,Regular,Starweaver,1 model,80
CODEX: AELDARI,Regular,Starfang,1 model,75
CODEX: AELDARI,Regular,Starfang,2 models,150
CODEX: AELDARI,Regular,Storm Guardians,11 models,110
CODEX: AELDARI,Regular,Striking Scorpions,5 models,85
CODEX: AELDARI,Regular,Striking Scorpions,10 models,150
CODEX: AELDARI,Regular,Swooping Hawks,5 models,95
CODEX: AELDARI,Regular,Swooping Hawks,10 models,190
CODEX: AELDARI,Regular,Troupe,5 models,85
CODEX: AELDARI,Regular,Troupe,6 models,100
CODEX: AELDARI,Regular,Troupe,11 models,190
CODEX: AELDARI,Regular,Troupe,12 models,205
CODEX: AELDARI,Regular,Troupe Master,1 model,75
CODEX: AELDARI,Regular,Vibro Cannon Platform,1 model,60
CODEX: AELDARI,Regular,Voidweaver,1 model,125
CODEX: AELDARI,Regular,Vyper,1 model,75
CODEX: AELDARI,Regular,Vyper,2 models,150
CODEX: AELDARI,Regular,War Walker,1 model,85
CODEX: AELDARI,Regular,War Walker,2 models,170
CODEX: AELDARI,Regular,Warlock,1 model,45
CODEX: AELDARI,Regular,Warlock Conclave,2 models,55
CODEX: AELDARI,Regular,Warlock Conclave,4 models,130
CODEX: AELDARI,Regular,Warlock Skyrunners,1 model,45
CODEX: AELDARI,Regular,Warlock Skyrunners,2 models,90
CODEX: AELDARI,Regular,Warp Spiders,5 models,105
CODEX: AELDARI,Regular,Warp Spiders,10 models,190
CODEX: AELDARI,Regular,Wave Serpent,1 model,125
CODEX: AELDARI,Regular,Windriders,3 models,80
CODEX: AELDARI,Regular,Windriders,6 models,160
CODEX: AELDARI,Regular,Wraithblades,5 models,150
CODEX: AELDARI,Regular,Wraithguard,5 models,160
CODEX: AELDARI,Regular,Wraithknight,1 model,435
CODEX: AELDARI,Regular,Wraithknight with Ghostglaive,1 model,420
CODEX: AELDARI,Regular,Wraithlord,1 model,130
CODEX: AELDARI,Regular,YNNARI The Visarch,1 model,90
CODEX: AELDARI,Regular,The Yncarne,1 model,260
CODEX: AELDARI,Regular,Ynnari Archon,1 model,85
CODEX: AELDARI,Regular,Ynnari Incubi,5 models,85
CODEX: AELDARI,Regular,Ynnari Incubi,10 models,170
CODEX: AELDARI,Regular,Ynnari Kabalite Warriors,10 models,110
CODEX: AELDARI,Regular,Ynnari Raider,1 model,80
CODEX: AELDARI,Regular,Ynnari Reavers,3 models,65
CODEX: AELDARI,Regular,Ynnari Reavers,3 models,120
CODEX: AELDARI,Regular,Ynnari Succubus Ynnari Venom,1 model,70
CODEX: AELDARI,Regular,Ynnari Wyches,10 models,90
CODEX: AELDARI,Regular,Yvraine,1 model,100
CODEX: AELDARI,Forge World,Phantom Titan,1 model,2100
CODEX: AELDARI,Forge World,Revenant Titan,1 model,1100
CODEX: AELDARI,Detachment Enhancement,Guiding Presence,Armoured Warhost,25
CODEX: AELDARI,Detachment Enhancement,Guileful Strategist,Armoured Warhost,15
CODEX: AELDARI,Detachment Enhancement,Harmonisation Matrix,Armoured Warhost,30
CODEX: AELDARI,Detachment Enhancement,Spirit Stone of Raelyth,Armoured Warhost,20
CODEX: AELDARI,Detachment Enhancement,Aspect of Murder,Aspect Host,25
CODEX: AELDARI,Detachment Enhancement,Mantle of Wisdom,Aspect Host,30
CODEX: AELDARI,Detachment Enhancement,Shimmerstone,Aspect Host,15
CODEX: AELDARI,Detachment Enhancement,Strategic Savant,Aspect Host,15
CODEX: AELDARI,Detachment Enhancement,Archraider,Corsair Coterie,35
CODEX: AELDARI,Detachment Enhancement,Infamy,Corsair Coterie,25
CODEX: AELDARI,Detachment Enhancement,Voidstone,Corsair Coterie,15
CODEX: AELDARI,Detachment Enhancement,Webway Pathstone,Corsair Coterie,25
CODEX: AELDARI,Detachment Enhancement,Borrowed Vigour,Devoted of Ynnead,10
CODEX: AELDARI,Detachment Enhancement,Gaze of Ynnead,Devoted of Ynnead,15
CODEX: AELDARI,Detachment Enhancement,Morbid Might,Devoted of Ynnead,15
CODEX: AELDARI,Detachment Enhancement,Storm of Whispers,Devoted of Ynnead,10
CODEX: AELDARI,Detachment Enhancement,Adrenal Infusions,Eldritch Raiders,20
CODEX: AELDARI,Detachment Enhancement,Alacritous Assault,Eldritch Raiders,20
CODEX: AELDARI,Detachment Enhancement,Exotic Munitions,Eldritch Raiders,15
CODEX: AELDARI,Detachment Enhancement,Pirate Prince,Eldritch Raiders,15
CODEX: AELDARI,Detachment Enhancement,Cegorach’s Coil,Ghosts of the Webway,25
CODEX: AELDARI,Detachment Enhancement,Mask of Secrets,Ghosts of the Webway,15
CODEX: AELDARI,Detachment Enhancement,Mistweave,Ghosts of the Webway,15
CODEX: AELDARI,Detachment Enhancement,Murder’s Jest,Ghosts of the Webway,20
CODEX: AELDARI,Detachment Enhancement,Breath of Vaul,Guardian Battlehost,10
CODEX: AELDARI,Detachment Enhancement,Craftworld’s Champion,Guardian Battlehost,25
CODEX: AELDARI,Detachment Enhancement,Ethereal Pathway,Guardian Battlehost,30
CODEX: AELDARI,Detachment Enhancement,Protector of the Paths,Guardian Battlehost,20
CODEX: AELDARI,Detachment Enhancement,Lucid Eye,Seer Council,30
CODEX: AELDARI,Detachment Enhancement,Runes of Warding,Seer Council,25
CODEX: AELDARI,Detachment Enhancement,Stone of Eldritch Fury,Seer Council,15
CODEX: AELDARI,Detachment Enhancement,Torc of Morai-Heg,Seer Council,20
CODEX: AELDARI,Detachment Enhancement,Higher Duty,Spirit Conclave,25
CODEX: AELDARI,Detachment Enhancement,Light of Clarity,Spirit Conclave,30
CODEX: AELDARI,Detachment Enhancement,Rune of Mists,Spirit Conclave,10
CODEX: AELDARI,Detachment Enhancement,Stave of Kurnous,Spirit Conclave,15
CODEX: AELDARI,Detachment Enhancement,Fanged Leer,Serpent’s Brood,10
CODEX: AELDARI,Detachment Enhancement,Key of Ghosts,Serpent’s Brood,20
CODEX: AELDARI,Detachment Enhancement,Shedskin Raiment,Serpent’s Brood,25
CODEX: AELDARI,Detachment Enhancement,Weavers’ Wail,Serpent’s Brood,20
CODEX: AELDARI,Detachment Enhancement,Gift of Foresight,Warhost,15
CODEX: AELDARI,Detachment Enhancement,Phoenix Gem,Warhost,35
CODEX: AELDARI,Detachment Enhancement,Psychic Destroyer,Warhost,30
CODEX: AELDARI,Detachment Enhancement,Timeless Strategist,Warhost,15
CODEX: AELDARI,Detachment Enhancement,Echoes of Ulthanesh,Windrider Host,20
CODEX: AELDARI,Detachment Enhancement,Firstdrawn Blade,Windrider Host,10
CODEX: AELDARI,Detachment Enhancement,Mirage Field,Windrider Host,25
CODEX: AELDARI,Detachment Enhancement,Seersight Strike,Windrider Host,15
CODEX: ASTRA MILITARUM,Regular,Aegis Defence Line,1 model,145
CODEX: ASTRA MILITARUM,Regular,Armoured Sentinels,1 model,65
CODEX: ASTRA MILITARUM,Regular,Armoured Sentinels,2 models,130
CODEX: ASTRA MILITARUM,Regular,Artillery Team,1 model,95
CODEX: ASTRA MILITARUM,Regular,Attilan Rough Riders,5 models,60
CODEX: ASTRA MILITARUM,Regular,Attilan Rough Riders,10 models,120
CODEX: ASTRA MILITARUM,Regular,Baneblade,1 model,450
